#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
126,Cameroon,"123,629",,"1,960 ",,"118,616",,"3,053",13,"4,400",70,"1,751,774","62,352","28,094,778 ",Africa,"22714,33416",,,109,
127,Malta,"115,469",,808 ,,"113,974",,687,4,"259,891","1,819","2,080,383","4,682,415","444,297 ",Europe,45500,,,"1,546",
128,Angola,"103,131",,"1,917 ",,"101,155",,59,,"2,925",54,"1,499,795","42,531","35,263,215 ",Africa,"34218,39524",,,2,
129,Barbados,"103,014",,560 ,,"102,024",,430,,"357,441","1,943","770,100","2,672,112","288,199 ",North America,35150,,,"1,492",
130,Channel Islands,"94,480",,205 ,,"93,703",,572,,"531,931","1,154","1,252,808","7,053,424","177,617 ",Europe,28660,,,"3,220",
131,French Guiana,"94,259",,411 ,,"11,254",,"82,594",2,"297,507","1,297","651,257","2,055,541","316,830 ",South America,37710,,,"260,689",
132,DRC,"93,219",,"1,445 ",,"83,560",,"8,214",,972,15,"846,704","8,825","95,944,984 ",Africa,"1,02966,398113",,,86,
133,Senegal,"88,679",,"1,968 ",,"86,609",,102,,"4,988",111,"1,146,543","64,491","17,778,257 ",Africa,"2009,03416",,,6,
134,Malawi,"88,073",,"2,683 ",,"84,974",,416,67,"4,341",132,"619,708","30,544","20,288,703 ",Africa,"2307,56233",,,21,
135,Ivory Coast,"87,830",,829 ,,"86,970",,31,,"3,147",30,"1,644,475","58,922","27,909,402 ",Africa,"31833,66617",,,1,
136,Suriname,"81,228",,"1,392 ",,N/A,N/A,N/A,,"135,618","2,324","239,603","400,041","598,946 ",South America,74302,,,"50,402",
137,French Polynesia,"76,764",,649 ,,N/A,N/A,N/A,7,"269,620","2,279",,,"284,712 ",Australia/Oceania,4439,,,"149,678",
138,New Caledonia,"74,440",,314 ,,"73,959",,167,9,"254,994","1,076","98,964","339,001","291,928 ",Australia/Oceania,49303,,,572,
139,Eswatini,"73,558",,"1,422 ",,"72,088",,48,,"61,901","1,197","1,045,903","880,162","1,188,308 ",Africa,168361,,,40,
140,Guyana,"71,447",,"1,281 ",,"70,149",,17,,"89,821","1,610","702,591","883,271","795,442 ",South America,116211,,,21,
141,Belize,"68,957",,687 ,,"68,246",,24,6,"166,344","1,657","576,016","1,389,514","414,545 ",North America,66031,,,58,
142,Fiji,"68,270",,878 ,,"66,327",,"1,065",,"74,885",963,"664,357","728,732","911,662 ",Australia/Oceania,"131,0381",,,"1,168",
143,Madagascar,"66,788",,"1,411 ",,"65,297",,80,,"2,275",48,"515,324","17,552","29,359,732 ",Africa,"44020,80857",,,3,
144,Sudan,"63,509",,"4,972 ",,"57,724",+72,813,,"1,373",108,"562,941","12,172","46,249,007 ",Africa,"7289,30282",,,18,
145,Mauritania,"63,399",,997 ,,"62,335",,67,,"12,844",202,"999,681","202,522","4,936,152 ",Africa,"784,9515",,,14,
146,Cabo Verde,"62,561",,410 ,,"62,008",,143,23,"109,730",719,"401,622","704,432","570,136 ",Africa,"91,3911",,,251,
